t,P_a
724.0,75.5146145313
725.0,75.3586580482
726.0,75.4446671833
727.0,75.4596660522
728.0,75.4182525763
729.0,75.3902226003
730.0,75.4283780598
731.0,75.3329158686
732.0,75.2757597342
733.0,75.3189552673
734.0,75.0686912929
735.0,75.1994415125
736.0,75.2030783583
737.0,75.0
738.0,75.1157529483
739.0,75.2168355521
740.0,75.127911641
741.0,75.1260762139
742.0,75.2405109249
743.0,75.2875173216
744.0,75.5439456991
745.0,75.6267585022
746.0,75.6587214211
747.0,75.3653692119
748.0,75.1345727373
749.0,75.2311889716
750.0,75.2261576554
751.0,75.0051123839
752.0,75.201473585
753.0,75.2235985081
754.0,75.3980148666
755.0,75.1816863195
756.0,75.0929407292
757.0,75.3772170132
758.0,75.4912548758
759.0,75.3904399456
760.0,75.2414858055
761.0,75.3132830204
762.0,75.3921738424
763.0,75.2760575664
764.0,75.3890345591
765.0,75.5356892803
766.0,75.5139024384
767.0,75.5742416519
768.0,75.8035455855
769.0,75.5808281338
770.0,75.7784418481
771.0,75.5890004579
772.0,75.6341407989
773.0,75.7699527031
774.0,75.694157576
775.0,75.6418819493
776.0,75.5884986798
777.0,75.7310980237
778.0,75.6554379248
779.0,75.7058687622
780.0,75.5413227972
781.0,75.681862205
782.0,75.6666300013
783.0,75.593101624
784.0,75.5105259028
785.0,75.3360392006
786.0,75.2165335036
787.0,75.3919252686
788.0,75.3338579195
789.0,75.2724750341
790.0,75.3608806625
791.0,75.3724053408
792.0,75.3961337459
793.0,75.4473192886
794.0,75.4975663704
795.0,75.2482928553
796.0,75.2388140743
797.0,75.4111357327
798.0,75.423004083
799.0,75.28518122
800.0,75.314135491
801.0,75.4201557121
802.0,75.2334108581
803.0,75.2494884776
804.0,75.3299734198
805.0,75.2578725187
806.0,75.5114487957
807.0,75.4911193445
808.0,75.4432688944
809.0,75.5895944973
810.0,75.4062512917
811.0,75.5298753718
812.0,75.5755534603
813.0,75.6999806009
814.0,75.7116806501
815.0,75.9196083668
816.0,75.9313642609
817.0,75.9732190994
818.0,75.8783155526
819.0,76.0219992058
820.0,76.0935557898
821.0,75.8532078654
822.0,76.0776236778
823.0,75.8422513692
824.0,75.7855769912
825.0,75.9490378989
826.0,75.8540587056
