P_a,CCO,t,SaO2sup,Vmca,Pa_CO2,ii
98.81672114,-0.65325277323343,390.4,0.9830558448,86.71147691728149,53.1047560518915,611
101.7370166,-0.6342392507453904,393.6,0.9839558462,89.47843834033999,54.4623537702433,611
102.2260156,-0.6308528743480857,396.8,0.9841117542,90.06125270031052,55.9021063391448,611
107.2174917,-0.603189577034095,400.0,0.9843079973,95.21799169471659,56.7215041027224,611
116.4480728,-0.5729167899302682,403.2,0.9844045839,101.58214275740292,57.04126874903,611
118.6926345,-0.5924612293320876,406.4,0.9841742511,97.42093069324451,57.1486415140029,611
111.1211966,-0.6476387360418199,409.6,0.9842511657,87.11574713878538,57.2436740988737,611
106.6861592,-0.651593680625621,412.8,0.985163187,85.95461366215967,57.5565624270361,611
113.0497377,-0.5970120833277448,416.0,0.986138421,95.12725465905405,58.1155454889266,611
119.8987384,-0.5747672776640091,419.2,0.9860462348,99.82440056264902,58.5567313458308,611
117.554452,-0.6087993612615809,422.4,0.9851200297,93.5243648231666,58.5350400715088,611
112.7573519,-0.6382361951579856,425.6,0.9846370759,88.51455026490767,58.227530300786,611
114.4722769,-0.6181980060616143,428.8,0.985154607,91.72317301833478,58.1417692585913,611
118.2984387,-0.5971681102671175,432.0,0.9861474125,95.03700557359676,58.4699020132586,611
116.5821298,-0.6078186536504507,435.2,0.9872005516,92.2752205907286,58.9344265650016,611
111.527734,-0.6215411516113515,438.4,0.9884213643,89.04893299107617,59.2631013067527,611
108.6873133,-0.6123089666658174,441.6,0.9896274361,89.90326278458414,59.4699729814959,611
108.5407537,-0.5950307389170459,444.8,0.990117232,92.74229569987118,59.6672271401032,611
110.5676525,-0.5793653127605247,448.0,0.9895805513,96.2242144275432,59.9388927222866,611
115.3141815,-0.5617754259623567,451.2,0.9887573403,100.63840685639235,60.3442393560599,611
119.9823781,-0.5522191978474879,454.4,0.9888656937,102.70612763722644,60.7774024105092,611
121.0564618,-0.5580965514915038,457.6,0.9903446988,100.11369431961768,61.0092259077868,611
120.1863574,-0.5661103609351547,460.8,0.9922972251,96.85275486994178,61.0387253094046,611
120.1568896,-0.5659669154886469,464.0,0.9935163078,95.95429837742142,61.086726587985,611
119.5016581,-0.568372938520694,467.2,0.9939838308,95.139060228357,61.213110161785,611
116.9439948,-0.5742454632583947,470.4,0.9946487762,93.54802665206888,61.3473027929574,611
114.9851295,-0.5690511893398104,473.6,0.9957456796,93.7970392118901,61.5346797565676,611
115.3920749,-0.5545425036094509,476.8,0.9964575624,96.15586017590341,61.7236985227322,611
117.3746299,-0.5438499428324846,480.0,0.9964482869,98.35635352291398,61.6726550013973,611
120.6290144,-0.5376498235770243,483.2,0.9964041131,99.65423198603017,61.3908647413589,611
124.3853075,-0.5372334832225576,486.4,0.9966327571,99.46005727710362,61.142036077738,611
125.7685598,-0.5532873876148846,489.6,0.9964261887,96.17357760853827,60.9576500076584,611
123.5967558,-0.5822659231645769,492.8,0.9953650263,91.34157768968754,60.7726711863192,611
120.2904043,-0.6005395071939809,496.0,0.9941619031,88.9370280454234,60.7172115342138,611
117.9309719,-0.5997129810865035,499.2,0.9936789261,89.43965693107785,60.6941933332389,611
116.2894257,-0.5936361628550305,502.4,0.9939214974,90.35733852110663,60.4075525441964,611
115.0729516,-0.5875625332127068,505.6,0.9943808744,91.1452881913756,60.2029700652623,611
114.7696748,-0.5758672016562048,508.8,0.9947476894,93.12699790430482,60.7267006322861,611
115.2842855,-0.562085611908718,512.0,0.9949842001,95.71683003713393,61.4786204526348,611
115.8375791,-0.5578191234407505,515.2,0.995085234,96.46980740625972,61.1717977534305,611
116.3223601,-0.5649680849848644,518.4,0.9950345626,94.93806814207322,59.9034475815729,611
117.3155974,-0.5717352533875861,521.6,0.9949132794,93.62763136166208,59.3378470478299,611
118.5833641,-0.5696712558266637,524.8,0.994930354,94.07456639250412,60.1121677533732,611
119.239209,-0.5657613472678729,528.0,0.9952399045,94.68404508019199,60.8850838858766,611
119.237454,-0.5660800527233644,531.2,0.9957057584,94.27722291942239,60.8564281311571,611
118.8453156,-0.5662511215269764,534.4,0.996006717,94.05040978706232,61.0553008704086,611
117.8413642,-0.5625590698980515,537.6,0.996037322,94.85376500275207,61.9722329746513,611
116.7151813,-0.5582947829230387,540.8,0.995999379,95.77540511823838,62.3516893911979,611
116.122521,-0.5585414648944709,544.0,0.9960256886,95.63221235765596,61.5399856705315,611
114.9007507,-0.5667036792170498,547.2,0.9959997543,93.96800369335287,60.6868656954682,611
112.2190201,-0.5759017259184384,550.4,0.995899136,92.31493458685469,60.8042370679255,611
110.3353423,-0.570010249108471,553.6,0.9959792211,93.45472133505127,61.6863877985558,611
111.096287,-0.5481712600512993,556.8,0.9963435089,97.64891903141894,62.9415087271772,611
112.1634241,-0.5305218002364506,560.0,0.9966936392,101.28215097506094,64.2647651631185,611
110.727696,-0.5301842692716799,563.2,0.9968718241,101.2339965789745,64.8165978268179,611
108.1428556,-0.5393867445487194,566.4,0.997148523,98.90301539587237,63.8323025912908,611
107.2453346,-0.5466381969717454,569.6,0.9973824541,97.04510393032933,61.7806092517031,611
107.7996272,-0.5561926114082844,572.8,0.9965559838,95.59254183752489,60.0151984266862,611
107.9931722,-0.5734775295469419,576.0,0.9941800189,93.86361098080246,59.3492080373837,611
107.9452035,-0.5877002428666429,579.2,0.9916823813,92.9154554456377,59.3554576939799,611
108.1421217,-0.5929577479037725,582.4,0.9911170686,92.29177288558054,58.9342296438028,611
106.463227,-0.6064733707475932,585.6,0.9925944386,88.74998859079483,57.4921110052687,611
100.9056158,-0.6436039953743478,588.8,0.9940906735,81.78334019944101,55.6379967735185,611
94.29798052,-0.6822176890474202,592.0,0.9938493528,76.50495641020359,54.468363317088,611
92.02369587,-0.6829839520983714,595.2,0.9921567561,77.19742459752331,54.1197818103083,611
94.67343804,-0.6570385577142792,598.4,0.9907292735,81.54001320550162,53.6272640108436,611
96.86608465,-0.6496818833878206,601.6,0.9909187805,82.46945337239188,52.4209627606241,611
94.79054135,-0.675223989113211,604.8,0.9924466378,77.93405426711816,51.1721204334799,611
91.23153179,-0.7023773145444074,608.0,0.9935866149,73.90320896179425,50.6613147421551,611
