Parameter	CBF_mu	CBF_mu_star	CBF_sigma	CBF_mu_star_conf	HHb_mu	HHb_mu_star	HHb_sigma	HHb_mu_star_conf	CCO_mu	CCO_mu_star	CCO_sigma	CCO_mu_star_conf	TOI_mu	TOI_mu_star	TOI_sigma	TOI_mu_star_conf	HbO2_mu	HbO2_mu_star	HbO2_sigma	HbO2_mu_star_conf	TOTAL_mu	TOTAL_mu_star	TOTAL_sigma	TOTAL_mu_star_conf
O2_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
O2c_n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_1n	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_an	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
p_C1	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
p_C3	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_ic	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_icn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
p_tot	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
p_totNADH	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_v	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
P_vn	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0	0.0	0.0	nan	0.0
